Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
19.01.2020	Sonntag	2. Sonntag nach Epiphanias	Hesekiel 18,27	Wenn sich der Ungerechte abkehrt von seiner Ungerechtigkeit, die er getan hat, und übt nun Recht und Gerechtigkeit, der wird sein Leben erhalten.	1. Timotheus 1,15	/Paulus schreibt:/ Das ist gewisslich wahr und ein teuer wertes Wort: Christus Jesus ist in die Welt gekommen, die Sünder selig zu machen, unter denen ich der erste bin.
20.01.2020	Montag		Psalm 32,2	Wohl dem Menschen, dem der HERR die Schuld nicht anrechnet und in dessen Sinn nichts Falsches ist.	2. Korinther 5,17-18	Das Alte ist vergangen, siehe, Neues ist geworden. Aber das alles ist von Gott, der uns mit sich selber versöhnt hat durch Christus.
21.01.2020	Dienstag		3. Mose 26,13	Ich bin der HERR, euer Gott, der euch aus Ägyptenland geführt hat, dass ihr nicht ihre Knechte bleibt, und habe euer Joch zerbrochen und habe euch aufrecht einhergehen lassen.	Galater 5,1	Zur Freiheit hat uns Christus befreit! So steht nun fest und lasst euch nicht wieder das Joch der Knechtschaft auflegen!
22.01.2020	Mittwoch		Jesaja 7,9	Glaubt ihr nicht, so bleibt ihr nicht.	1. Timotheus 6,12	Kämpfe den guten Kampf des Glaubens; ergreife das ewige Leben, wozu du berufen bist und bekannt hast das gute Bekenntnis vor vielen Zeugen.
23.01.2020	Donnerstag		Psalm 116,8	Du hast meine Seele vom Tode errettet, mein Auge von den Tränen, meinen Fuß vom Gleiten.	Hebräer 2,15	Jesus erlöste die, die durch Furcht vor dem Tod im ganzen Leben Knechte sein mussten.
24.01.2020	Freitag		Jesaja 2,11	Alle hoffärtigen Augen werden erniedrigt, und die stolzen Männer müssen sich beugen; der HERR aber wird allein hoch sein an jenem Tage.	Galater 6,7	Irret euch nicht! Gott lässt sich nicht spotten.
25.01.2020	Samstag		Jesaja 40,28	Weißt du nicht? Hast du nicht gehört? Der HERR, der ewige Gott, der die Enden der Erde geschaffen hat, wird nicht müde noch matt, sein Verstand ist unausforschlich.	Römer 15,13	Der Gott der Hoffnung erfülle euch mit aller Freude und Frieden im Glauben, dass ihr immer reicher werdet an Hoffnung durch die Kraft des Heiligen Geistes.
26.01.2020	Sonntag	3. Sonntag nach Epiphanias	Psalm 89,10	Du herrschest über das ungestüme Meer, du stillest seine Wellen, wenn sie sich erheben.	2. Thessalonicher 3,16	Der Herr des Friedens gebe euch Frieden allezeit und auf alle Weise.
27.01.2020	Montag		Jesaja 41,4	Wer ruft die Geschlechter von Anfang her? Ich bin’s, der HERR, der Erste und bei den Letzten noch derselbe.	Apostelgeschichte 10,36	Gott hat das Wort dem Volk Israel gesandt und Frieden verkündigt durch Jesus Christus, welcher ist Herr über alles.
28.01.2020	Dienstag		Hiob 12,14	Siehe, wenn Gott zerbricht, so hilft kein Bauen; wenn er jemand einschließt, kann niemand aufmachen.	Offenbarung 3,7-8	Das sagt der Heilige, der Wahrhaftige, der da hat den Schlüssel Davids, der auftut, und niemand schließt zu, und der zuschließt, und niemand tut auf: Ich kenne deine Werke. Siehe, ich habe vor dir eine Tür aufgetan, die niemand zuschließen kann.
29.01.2020	Mittwoch		Jesaja 42,3	Das geknickte Rohr wird er nicht zerbrechen, und den glimmenden Docht wird er nicht auslöschen.	Lukas 19,10	Der Menschensohn ist gekommen, zu suchen und selig zu machen, was verloren ist.
30.01.2020	Donnerstag		3. Mose 19,15	Du sollst den Geringen nicht vorziehen, aber auch den Großen nicht begünstigen.	Jakobus 2,1	Haltet den Glauben an Jesus Christus, unsern Herrn der Herrlichkeit, frei von allem Ansehen der Person.
31.01.2020	Freitag		1. Samuel 1,15	Ich habe mein Herz vor dem HERRN ausgeschüttet.	1. Petrus 5,7	Alle eure Sorge werft auf ihn; denn er sorgt für euch.
01.02.2020	Samstag		Jesaja 48,18	O dass du auf meine Gebote gemerkt hättest, so würde dein Friede sein wie ein Wasserstrom und deine Gerechtigkeit wie Meereswellen.	1. Korinther 1,30	Jesus Christus wurde für uns zur Weisheit durch Gott und zur Gerechtigkeit und zur Heiligung und zur Erlösung.
02.02.2020	Sonntag	Letzter Sonntag nach Epiphanias	Jesaja 50,7	Gott der HERR hilft mir, darum werde ich nicht zuschanden.	Apostelgeschichte 26,22	Gottes Hilfe habe ich erfahren bis zum heutigen Tag und stehe nun hier und bin sein Zeuge.
03.02.2020	Montag		Jesaja 45,24	Alle, die dem HERRN widerstehen, werden zu ihm kommen und beschämt werden.	Philipper 2,11	Alle Zungen sollen bekennen, dass Jesus Christus der Herr ist, zur Ehre Gottes, des Vaters.
04.02.2020	Dienstag		Jesaja 41,17	Die Elenden und Armen suchen Wasser, und es ist nichts da, ihre Zunge verdorrt vor Durst. Aber ich, der HERR, will sie erhören.	Offenbarung 21,6	Ich will dem Durstigen geben von der Quelle des lebendigen Wassers umsonst.
05.02.2020	Mittwoch		Jesaja 38,20	Der HERR hat mir geholfen, darum wollen wir singen und spielen im Hause des HERRN!	Apostelgeschichte 3,8	Der Gelähmte sprang auf, stellte sich auf die Füße und konnte gehen; und er ging mit ihnen in den Tempel hinein, lief hin und her, sprang in die Höhe und lobte Gott.
06.02.2020	Donnerstag		Psalm 105,8	Er gedenkt ewiglich an seinen Bund, an das Wort, das er verheißen hat für tausend Geschlechter.	Markus 13,31	/Jesus spricht:/ Himmel und Erde werden vergehen; meine Worte aber werden nicht vergehen.
07.02.2020	Freitag		5. Mose 6,6-7	Diese Worte, die ich dir heute gebiete, sollst du zu Herzen nehmen und sollst sie deinen Kindern einschärfen und davon reden.	1. Timotheus 1,5	Das Ziel der Unterweisung ist Liebe aus reinem Herzen und aus gutem Gewissen und aus ungeheucheltem Glauben.
08.02.2020	Samstag		Jeremia 20,13	Singet dem HERRN, rühmet den HERRN, der des Armen Leben aus den Händen der Boshaften errettet!	Lukas 1,52	Er stößt die Gewaltigen vom Thron und erhebt die Niedrigen.
09.02.2020	Sonntag	3. Sonntag vor der Passionszeit – Septuagesimae	Psalm 118,26	Gelobt sei, der da kommt im Namen des HERRN!	Epheser 2,17	Jesus Christus ist gekommen und hat im Evangelium Frieden verkündigt.
10.02.2020	Montag		1. Mose 24,40	Der HERR wird seinen Engel mit dir senden und Gnade zu deiner Reise geben.	Apostelgeschichte 21,5	Die Jünger geleiteten uns alle mit Frauen und Kindern bis hinaus vor die Stadt, und wir knieten am Ufer nieder, beteten und nahmen Abschied voneinander.
11.02.2020	Dienstag		Psalm 23,3	Er führet mich auf rechter Straße um seines Namens willen.	Johannes 10,14	/Jesus spricht:/ Ich bin der gute Hirte und kenne die Meinen und die Meinen kennen mich.
12.02.2020	Mittwoch		Hesekiel 16,60	Ich will gedenken an meinen Bund, den ich mit dir geschlossen habe zur Zeit deiner Jugend, und will mit dir einen ewigen Bund aufrichten.	1. Petrus 5,10	Der Gott aller Gnade, der euch berufen hat zu seiner ewigen Herrlichkeit in Christus, der wird euch, die ihr eine kleine Zeit leidet, aufrichten, stärken, kräftigen, gründen.
13.02.2020	Donnerstag		5. Mose 31,8	Der HERR, der selber vor euch hergeht, der wird mit dir sein und wird die Hand nicht abtun und dich nicht verlassen. Fürchte dich nicht und erschrick nicht!	Johannes 10,27-28	/Jesus spricht:/ Meine Schafe hören meine Stimme, und ich kenne sie und sie folgen mir; und ich gebe ihnen das ewige Leben, und sie werden nimmermehr umkommen, und niemand wird sie aus meiner Hand reißen.
14.02.2020	Freitag		2. Samuel 12,9	Warum hast du denn das Wort des HERRN verachtet, dass du getan hast, was ihm missfiel?	Hebräer 12,1-2	Lasst uns ablegen alles, was uns beschwert, und die Sünde, die uns umstrickt. Lasst uns laufen mit Geduld in dem Kampf, der uns bestimmt ist, und aufsehen zu Jesus, dem Anfänger und Vollender des Glaubens.
15.02.2020	Samstag		Jesaja 2,5	Kommt nun, lasst uns wandeln im Licht des HERRN!	Römer 13,11-12	Ihr habt die Zeit erkannt, dass die Stunde da ist, aufzustehen vom Schlaf, denn unser Heil ist jetzt näher als zu der Zeit, da wir gläubig wurden. Die Nacht ist vorgerückt, der Tag ist nahe herbeigekommen.
16.02.2020	Sonntag	2. Sonntag vor der Passionszeit – Sexagesimae	Psalm 4,2	Der du mich tröstest in Angst, sei mir gnädig und erhöre mein Gebet!	Matthäus 5,4	Selig sind, die da Leid tragen; denn sie sollen getröstet werden.
17.02.2020	Montag		Psalm 22,28	Es werden sich zum HERRN bekehren aller Welt Enden.	1. Timotheus 2,4	Gott will, dass alle Menschen gerettet werden und sie zur Erkenntnis der Wahrheit kommen.
18.02.2020	Dienstag		Joel 2,21	Fürchte dich nicht, liebes Land, sondern sei fröhlich und getrost; denn der HERR hat Großes getan.	1. Timotheus 3,16	Groß ist, wie jedermann bekennen muss, das Geheimnis des Glaubens: Er ist offenbart im Fleisch, gerechtfertigt im Geist, erschienen den Engeln, gepredigt den Heiden, geglaubt in der Welt, aufgenommen in die Herrlichkeit.
19.02.2020	Mittwoch		Psalm 50,1	Gott, der HERR, der Mächtige, redet und ruft der Welt zu vom Aufgang der Sonne bis zu ihrem Niedergang.	2. Korinther 5,19	Gott war in Christus und versöhnte die Welt mit ihm selber und rechnete ihnen ihre Sünden nicht zu und hat unter uns aufgerichtet das Wort von der Versöhnung.
20.02.2020	Donnerstag		Jeremia 35,14	So spricht der HERR: Ich habe zu euch gesprochen, immer wieder mit Eifer gesprochen, ihr aber habt nicht auf mich gehört!	Lukas 11,28	Selig sind, die das Wort Gottes hören und bewahren.
21.02.2020	Freitag		1. Mose 2,19.20	Gott der HERR machte aus Erde alle die Tiere auf dem Felde und alle die Vögel unter dem Himmel und brachte sie zu dem Menschen. Und der Mensch gab einem jeden seinen Namen.	Matthäus 6,26	Seht die Vögel unter dem Himmel an: Sie säen nicht, sie ernten nicht, sie sammeln nicht in die Scheunen; und euer himmlischer Vater ernährt sie doch. Seid ihr denn nicht viel kostbarer als sie?
22.02.2020	Samstag		Hesekiel 18,25	Ihr sagt: »Der Herr handelt nicht recht.« So höret nun, ihr vom Hause Israel: Handle denn #ich# unrecht? Ist’s nicht vielmehr so, dass #ihr# unrecht handelt?	1. Johannes 1,8-9	Wenn wir sagen, wir haben keine Sünde, so betrügen wir uns selbst, und die Wahrheit ist nicht in uns. Wenn wir aber unsre Sünden bekennen, so ist er treu und gerecht, dass er uns die Sünden vergibt und reinigt uns von aller Ungerechtigkeit.
23.02.2020	Sonntag	SONNTAG VOR DER PASSIONSZEIT - ESTOMIHI (Sei mir ein starker Fels! Psalm 31,3)	Jeremia 30,20	Ihre Gemeinde soll vor mir fest gegründet stehen.	Epheser 2,21	Durch Jesus Christus wird der ganze Bau zusammengehalten und wächst zu einem heiligen Tempel im Herrn.
24.02.2020	Montag		Klagelieder 3,40	Lasst uns unsere Wege prüfen und erforschen, und lasst uns zurückkehren zum HERRN!	1. Korinther 6,17	Wer dem Herrn anhängt, der ist #ein# Geist mit ihm.
25.02.2020	Dienstag		Hesekiel 36,11	Ich will euch mehr Gutes tun als je zuvor, und ihr sollt erfahren, dass ich der HERR bin.	2. Korinther 9,8	Gott kann machen, dass alle Gnade unter euch reichlich sei, damit ihr in allen Dingen allezeit volle Genüge habt und noch reich seid zu jedem guten Werk.
26.02.2020	Mittwoch		Psalm 119,5	O dass mein Leben deine Gebote mit ganzem Ernst hielte.	Lukas 9,51	Es begab sich aber, als die Zeit erfüllt war, dass Jesus in den Himmel aufgenommen werden sollte, da wandte er das Angesicht, entschlossen, nach Jerusalem zu wandern.
27.02.2020	Donnerstag		Psalm 62,8	Bei Gott ist mein Heil und meine Ehre.	Matthäus 5,11	Selig seid ihr, wenn euch die Menschen um meinetwillen schmähen und verfolgen und allerlei Böses gegen euch reden und dabei lügen.
28.02.2020	Freitag		Psalm 22,2	Mein Gott, mein Gott, warum hast du mich verlassen? Ich schreie, aber meine Hilfe ist ferne.	Apostelgeschichte 12,5	Petrus wurde im Gefängnis festgehalten; aber die Gemeinde betete ohne Aufhören für ihn zu Gott.
29.02.2020	Samstag		Sacharja 8,13	Ich will euch retten, dass ihr ein Segen sein sollt.	1. Timotheus 1,12-13	Ich danke unserm Herrn Christus Jesus, der mich stark gemacht und für treu erachtet hat und in das Amt eingesetzt, mich, der ich früher ein Lästerer und ein Verfolger und ein Frevler war; aber mir ist Barmherzigkeit widerfahren.
01.03.2020	Sonntag	1. Sonntag der Passionszeit – Invokavit (Er ruft mich an, darum will ich ihn erhören. Psalm 91,15)	Psalm 118,21	HERR, ich danke dir, dass du mich erhört hast und hast mir geholfen.	Markus 5,34	Jesus sprach zu der Frau: Meine Tochter, dein Glaube hat dich gesund gemacht; geh hin in Frieden und sei gesund von deiner Plage!
02.03.2020	Montag		Psalm 94,15	Recht muss doch Recht bleiben, und ihm werden alle frommen Herzen zufallen.	Matthäus 5,16	/Jesus spricht:/ So lasst euer Licht leuchten vor den Leuten, damit sie eure guten Werke sehen und euren Vater im Himmel preisen.
03.03.2020	Dienstag		Psalm 6,2	Ach HERR, strafe mich nicht in deinem Zorn und züchtige mich nicht in deinem Grimm!	1. Thessalonicher 5,9	Gott hat uns nicht bestimmt zum Zorn, sondern dazu, die Seligkeit zu besitzen durch unsern Herrn Jesus Christus.
04.03.2020	Mittwoch		Psalm 115,11	Die ihr den HERRN fürchtet, hoffet auf den HERRN!	Epheser 1,18	Er gebe euch erleuchtete Augen des Herzens, damit ihr erkennt, zu welcher Hoffnung ihr von ihm berufen seid, wie reich die Herrlichkeit seines Erbes für die Heiligen ist.
05.03.2020	Donnerstag		5. Mose 8,6	So halte nun die Gebote des HERRN, deines Gottes, dass du in seinen Wegen wandelst und ihn fürchtest.	2. Timotheus 3,14	Bleibe bei dem, was du gelernt hast und was dir anvertraut ist.
06.03.2020	Freitag		Jesaja 35,5	Dann werden die Augen der Blinden aufgetan und die Ohren der Tauben geöffnet werden.	Matthäus 11,5	Armen wird das Evangelium gepredigt.
07.03.2020	Samstag		Sacharja 8,16	Rede einer mit dem andern Wahrheit und richtet wahrhaftig und recht, schafft Frieden in euren Toren.	1. Korinther 13,6	Die Liebe freut sich nicht über die Ungerechtigkeit, sie freut sich aber an der Wahrheit.
08.03.2020	Sonntag	2. Sonntag der Passionszeit – Reminiszere (Gedenke, HERR, an deine Barmherzigkeit! Psalm 25,6)	3. Mose 19,17	Du sollst deinen Bruder nicht hassen in deinem Herzen, sondern du sollst deinen Nächsten zurechtweisen, damit du nicht seinetwegen Schuld auf dich lädst.	Matthäus 5,44-45	Liebt eure Feinde und bittet für die, die euch verfolgen, auf dass ihr Kinder seid eures Vaters im Himmel.
09.03.2020	Montag		Jeremia 5,25	Eure Sünden halten das Gute von euch fern.	Römer 7,19	Das Gute, das ich will, das tue ich nicht; sondern das Böse, das ich nicht will, das tue ich.
10.03.2020	Dienstag		Psalm 27,1	Der HERR ist meines Lebens Kraft; vor wem sollte mir grauen?	2. Timotheus 1,7	Gott hat uns nicht gegeben den Geist der Furcht, sondern der Kraft und der Liebe und der Besonnenheit.
11.03.2020	Mittwoch		Daniel 4,34	All sein Tun ist Wahrheit, und seine Wege sind recht, und wer stolz einherschreitet, den kann er demütigen.	Matthäus 11,29	/Jesus spricht:/ Nehmt auf euch mein Joch und lernt von mir; denn ich bin sanftmütig und von Herzen demütig; so werdet ihr Ruhe finden für eure Seelen.
12.03.2020	Donnerstag		Psalm 119,154	HERR, führe meine Sache und erlöse mich; erquicke mich durch dein Wort.	Apostelgeschichte 8,30-31	Philippus lief hin und hörte, dass der Mann aus Äthiopien den Propheten Jesaja las, und fragte: Verstehst du auch, was du liest? Er aber sprach: Wie kann ich, wenn mich nicht jemand anleitet? Und er bat Philippus, aufzusteigen und sich zu ihm zu setzen.
13.03.2020	Freitag		3. Mose 19,14	Du sollst dem Tauben nicht fluchen und sollst vor den Blinden kein Hindernis legen, denn du sollst dich vor deinem Gott fürchten.	Galater 6,2	Einer trage des andern Last, so werdet ihr das Gesetz Christi erfüllen.
14.03.2020	Samstag		Psalm 36,10	Bei dir ist die Quelle des Lebens, und in deinem Lichte sehen wir das Licht.	1. Johannes 5,12	Wer den Sohn hat, der hat das Leben.
15.03.2020	Sonntag	3. Sonntag der Passionszeit – Okuli (Meine Augen sehen stets auf den HERRN. Psalm 25,15)	1. Könige 3,11-12	Gott sprach zu Salomo: Weil du weder um langes Leben bittest noch um Reichtum noch um deiner Feinde Tod, sondern um Verstand, auf das Recht zu hören, siehe, so tue ich nach deinen Worten.	Matthäus 6,33	Trachtet zuerst nach dem Reich Gottes und nach seiner Gerechtigkeit, so wird euch das alles zufallen.
16.03.2020	Montag		Psalm 57,3	Ich rufe zu Gott, dem Allerhöchsten, zu Gott, der meine Sache zum guten Ende führt.	Markus 13,13	Wer beharrt bis an das Ende, der wird selig.
17.03.2020	Dienstag		Psalm 19,12	Dein Knecht lässt sich durch deine Gebote warnen.	1. Timotheus 4,7	Übe dich darin, den Willen Gottes zu tun!
18.03.2020	Mittwoch		Psalm 104,27-28	Es wartet alles auf dich, HERR, dass du ihnen Speise gebest zu seiner Zeit. Wenn du ihnen gibst, so sammeln sie; wenn du deine Hand auftust, so werden sie mit Gutem gesättigt.	1. Petrus 2,3	Ihr habt schon geschmeckt, dass der Herr freundlich ist.
19.03.2020	Donnerstag		2. Könige 13,23	Der HERR wandte sich Israel wieder zu um seines Bundes willen mit Abraham, Isaak und Jakob und wollte sie nicht verderben, verwarf sie auch nicht von seinem Angesicht bis auf diese Stunde.	Römer 11,29	Gottes Gaben und Berufung können ihn nicht gereuen.
20.03.2020	Freitag		Psalm 27,5	Der HERR deckt mich in seiner Hütte zur bösen Zeit, er birgt mich im Schutz seines Zeltes.	2. Korinther 12,10	Darum bin ich guten Mutes in Schwachheit, in Misshandlungen, in Nöten, in Verfolgungen und Ängsten um Christi willen; denn wenn ich schwach bin, so bin ich stark.
21.03.2020	Samstag		3. Mose 26,6	/Der Herr spricht:/ Ich will Frieden geben in eurem Lande, dass ihr schlaft und euch niemand aufschrecke.	Philipper 4,7	Der Friede Gottes, der höher ist als alle Vernunft, wird eure Herzen und Sinne in Christus Jesus bewahren.
22.03.2020	Sonntag	4. Sonntag der Passionszeit – Lätare (Freuet euch mit Jerusalem! Jesaja 66,10)	Daniel 2,28	Es ist ein Gott im Himmel, der Geheimnisse offenbart.	Kolosser 2,3	In Christus liegen verborgen alle Schätze der Weisheit und der Erkenntnis.
23.03.2020	Montag		Nehemia 9,6	HERR, du bist’s allein, du hast gemacht den Himmel und aller Himmel Himmel mit ihrem ganzen Heer, die Erde und alles, was darauf ist, die Meere und alles, was darinnen ist.	Apostelgeschichte 14,17	Gott hat sich selbst nicht unbezeugt gelassen, hat viel Gutes getan und euch vom Himmel Regen und fruchtbare Zeiten gegeben, hat euch ernährt und eure Herzen mit Freude erfüllt.
24.03.2020	Dienstag		Psalm 145,17	Der HERR ist gerecht in allen seinen Wegen und gnädig in allen seinen Werken.	Kolosser 1,9	Darum lassen auch wir nicht ab, für euch zu beten und zu bitten, dass ihr erfüllt werdet mit der Erkenntnis seines Willens in aller geistlichen Weisheit und Einsicht.
25.03.2020	Mittwoch		Jesaja 29,16	Wie kehrt ihr alles um! Als ob der Ton dem Töpfer gleich wäre, dass das Werk spräche von seinem Meister: Er hat mich nicht gemacht! und ein Bildwerk spräche von seinem Bildner: Er versteht nichts!	1. Petrus 5,5	Alle miteinander bekleidet euch mit Demut.
26.03.2020	Donnerstag		Psalm 38,19	Ich bekenne meine Schuld, bekümmert bin ich meiner Sünde wegen.	2. Korinther 7,10	Die Traurigkeit nach Gottes Willen wirkt zur Seligkeit eine Umkehr, die niemanden reut.
27.03.2020	Freitag		Jeremia 17,9-10	Es ist das Herz ein trotzig und verzagt Ding; wer kann es ergründen? Ich, der HERR, kann das Herz ergründen und die Nieren prüfen und gebe einem jeden nach seinem Tun.	1. Johannes 3,19-20	Daran erkennen wir, dass wir aus der Wahrheit sind, und können vor ihm unser Herz überzeugen, dass, wenn uns unser Herz verdammt, Gott größer ist als unser Herz und erkennt alle Dinge.
28.03.2020	Samstag		Psalm 147,11	Der HERR hat Gefallen an denen, die ihn fürchten, die auf seine Güte hoffen.	Markus 3,35	/Jesus spricht:/ Wer Gottes Willen tut, der ist mein Bruder und meine Schwester und meine Mutter.
29.03.2020	Sonntag	5. Sonntag der Passionszeit – Judika (Schaffe mir Recht, Gott! Psalm 43,1)	Psalm 142,4	Wenn mein Geist in Ängsten ist, so kennst du doch meinen Pfad.	2. Korinther 1,3-4	Gelobt sei Gott, der Vater unseres Herrn Jesus Christus, der Vater der Barmherzigkeit und Gott allen Trostes, der uns tröstet in aller unserer Bedrängnis.
30.03.2020	Montag		Jeremia 8,4	Wo ist jemand, wenn er fällt, der nicht gern wieder aufstünde? Wo ist jemand, wenn er irregeht, der nicht gern wieder zurechtkäme?	Johannes 6,37	/Jesus spricht:/ Wer zu mir kommt, den werde ich nicht hinausstoßen.
31.03.2020	Dienstag		Sacharja 6,15	Jene, die fern sind, werden kommen und am Tempel des HERRN bauen.	Epheser 2,22	Durch Jesus Christus werdet auch ihr mit erbaut zu einer Wohnung Gottes im Geist.
01.04.2020	Mittwoch		Jesaja 65,19	Ich will mich freuen über mein Volk. Man soll in ihm nicht mehr hören die Stimme des Weinens noch die Stimme des Klagens.	Johannes 16,22	/Jesus sprach zu den Jüngern:/ Ihr habt nun Traurigkeit; aber ich will euch wiedersehen, und euer Herz soll sich freuen, und eure Freude soll niemand von euch nehmen.
02.04.2020	Donnerstag		Psalm 71,17	Gott, du hast mich von Jugend auf gelehrt, und noch jetzt verkündige ich deine Wunder.	Lukas 2,28-30	Simeon nahm das Kind Jesus auf seine Arme und lobte Gott und sprach: Herr, nun lässt du deinen Diener in Frieden fahren, wie du gesagt hast; denn meine Augen haben deinen Heiland gesehen.
03.04.2020	Freitag		Psalm 89,16	Wohl dem Volk, das jauchzen kann! HERR, sie werden im Licht deines Antlitzes wandeln.	Epheser 5,8-9	Wandelt als Kinder des Lichts; die Frucht des Lichts ist lauter Güte und Gerechtigkeit und Wahrheit.
04.04.2020	Samstag		Psalm 115,2.3	Warum sollen die Heiden sagen: Wo ist denn ihr Gott? Unser Gott ist im Himmel; er kann schaffen, was er will.	Römer 1,20	Gottes unsichtbares Wesen – das ist seine ewige Kraft und Gottheit – wird seit der Schöpfung der Welt, wenn man es wahrnimmt, ersehen an seinen Werken.
